season,team,wins,losses,ties,record,games_played,win_pct
2020,ARI,8,8,0,8-8-0,16,0.5
2020,ATL,4,12,0,4-12-0,16,0.25
2020,BAL,11,5,0,11-5-0,16,0.6875
2020,BUF,13,3,0,13-3-0,16,0.8125
2020,CAR,5,11,0,5-11-0,16,0.3125
2020,CHI,8,8,0,8-8-0,16,0.5
2020,CIN,4,11,1,4-11-1,16,0.25
2020,CLE,11,5,0,11-5-0,16,0.6875
2020,DAL,6,10,0,6-10-0,16,0.375
2020,DEN,5,11,0,5-11-0,16,0.3125
2020,DET,5,11,0,5-11-0,16,0.3125
2020,GB,13,3,0,13-3-0,16,0.8125
2020,HOU,4,12,0,4-12-0,16,0.25
2020,IND,11,5,0,11-5-0,16,0.6875
2020,JAX,1,15,0,1-15-0,16,0.0625
2020,KC,14,2,0,14-2-0,16,0.875
2020,LA,10,6,0,10-6-0,16,0.625
2020,LAC,7,9,0,7-9-0,16,0.4375
2020,LV,8,8,0,8-8-0,16,0.5
2020,MIA,10,6,0,10-6-0,16,0.625
2020,MIN,7,9,0,7-9-0,16,0.4375
2020,NE,7,9,0,7-9-0,16,0.4375
2020,NO,12,4,0,12-4-0,16,0.75
2020,NYG,6,10,0,6-10-0,16,0.375
2020,NYJ,2,14,0,2-14-0,16,0.125
2020,PHI,4,11,1,4-11-1,16,0.25
2020,PIT,12,4,0,12-4-0,16,0.75
2020,SEA,12,4,0,12-4-0,16,0.75
2020,SF,6,10,0,6-10-0,16,0.375
2020,TB,11,5,0,11-5-0,16,0.6875
2020,TEN,11,5,0,11-5-0,16,0.6875
2020,WAS,7,9,0,7-9-0,16,0.4375
2021,ARI,11,6,0,11-6-0,17,0.6470588235294118
2021,ATL,7,10,0,7-10-0,17,0.4117647058823529
2021,BAL,8,9,0,8-9-0,17,0.47058823529411764
2021,BUF,11,6,0,11-6-0,17,0.6470588235294118
2021,CAR,5,12,0,5-12-0,17,0.29411764705882354
2021,CHI,6,11,0,6-11-0,17,0.35294117647058826
2021,CIN,10,7,0,10-7-0,17,0.5882352941176471
2021,CLE,8,9,0,8-9-0,17,0.47058823529411764
2021,DAL,12,5,0,12-5-0,17,0.7058823529411765
2021,DEN,7,10,0,7-10-0,17,0.4117647058823529
2021,DET,3,13,1,3-13-1,17,0.17647058823529413
2021,GB,13,4,0,13-4-0,17,0.7647058823529411
2021,HOU,4,13,0,4-13-0,17,0.23529411764705882
2021,IND,9,8,0,9-8-0,17,0.5294117647058824
2021,JAX,3,14,0,3-14-0,17,0.17647058823529413
2021,KC,12,5,0,12-5-0,17,0.7058823529411765
2021,LA,12,5,0,12-5-0,17,0.7058823529411765
2021,LAC,9,8,0,9-8-0,17,0.5294117647058824
2021,LV,10,7,0,10-7-0,17,0.5882352941176471
2021,MIA,9,8,0,9-8-0,17,0.5294117647058824
2021,MIN,8,9,0,8-9-0,17,0.47058823529411764
2021,NE,10,7,0,10-7-0,17,0.5882352941176471
2021,NO,9,8,0,9-8-0,17,0.5294117647058824
2021,NYG,4,13,0,4-13-0,17,0.23529411764705882
2021,NYJ,4,13,0,4-13-0,17,0.23529411764705882
2021,PHI,9,8,0,9-8-0,17,0.5294117647058824
2021,PIT,9,7,1,9-7-1,17,0.5294117647058824
2021,SEA,7,10,0,7-10-0,17,0.4117647058823529
2021,SF,10,7,0,10-7-0,17,0.5882352941176471
2021,TB,13,4,0,13-4-0,17,0.7647058823529411
2021,TEN,12,5,0,12-5-0,17,0.7058823529411765
2021,WAS,7,10,0,7-10-0,17,0.4117647058823529
2022,ARI,4,13,0,4-13-0,17,0.23529411764705882
2022,ATL,7,10,0,7-10-0,17,0.4117647058823529
2022,BAL,10,7,0,10-7-0,17,0.5882352941176471
2022,BUF,13,3,0,13-3-0,16,0.8125
2022,CAR,7,10,0,7-10-0,17,0.4117647058823529
2022,CHI,3,14,0,3-14-0,17,0.17647058823529413
2022,CIN,12,4,0,12-4-0,16,0.75
2022,CLE,7,10,0,7-10-0,17,0.4117647058823529
2022,DAL,12,5,0,12-5-0,17,0.7058823529411765
2022,DEN,5,12,0,5-12-0,17,0.29411764705882354
2022,DET,9,8,0,9-8-0,17,0.5294117647058824
2022,GB,8,9,0,8-9-0,17,0.47058823529411764
2022,HOU,3,13,1,3-13-1,17,0.17647058823529413
2022,IND,4,12,1,4-12-1,17,0.23529411764705882
2022,JAX,9,8,0,9-8-0,17,0.5294117647058824
2022,KC,14,3,0,14-3-0,17,0.8235294117647058
2022,LA,5,12,0,5-12-0,17,0.29411764705882354
2022,LAC,10,7,0,10-7-0,17,0.5882352941176471
2022,LV,6,11,0,6-11-0,17,0.35294117647058826
2022,MIA,9,8,0,9-8-0,17,0.5294117647058824
2022,MIN,13,4,0,13-4-0,17,0.7647058823529411
2022,NE,8,9,0,8-9-0,17,0.47058823529411764
2022,NO,7,10,0,7-10-0,17,0.4117647058823529
2022,NYG,9,7,1,9-7-1,17,0.5294117647058824
2022,NYJ,7,10,0,7-10-0,17,0.4117647058823529
2022,PHI,14,3,0,14-3-0,17,0.8235294117647058
2022,PIT,9,8,0,9-8-0,17,0.5294117647058824
2022,SEA,9,8,0,9-8-0,17,0.5294117647058824
2022,SF,13,4,0,13-4-0,17,0.7647058823529411
2022,TB,8,9,0,8-9-0,17,0.47058823529411764
2022,TEN,7,10,0,7-10-0,17,0.4117647058823529
2022,WAS,8,8,1,8-8-1,17,0.47058823529411764
